company_id,pii_count,database_storage_tb,pci_data_flag,phi_data_flag,cloud_adoption_pct,subdomain_count
63,199731,6.6,0,0,91.69,243
64,118320,10.8,1,0,9.37,167
65,12197,5.1,1,0,46.68,328
66,811593,24.2,1,0,20.64,17
67,15812,8.1,0,1,29.54,93
68,23676,2.3,0,0,64.58,303
69,3424491,72.0,0,1,34.17,298
70,152809,12.6,0,0,65.27,491
71,16163,4.5,0,0,87.68,147
72,75775,7.6,0,1,35.8,315
73,134973,9.7,0,1,38.71,80
74,14162,2.2,0,0,9.86,499
75,9547,5.6,0,0,78.41,413
76,56827,10.1,0,0,96.29,183
77,113039,6.1,0,0,81.65,28
78,46569,3.5,0,1,15.9,83
79,60726,8.6,1,0,84.75,105
80,49045,9.4,0,1,92.86,497
81,10860,4.8,0,0,70.06,473
82,2730,6.5,0,0,87.52,346
83,18297,4.0,1,0,47.18,162
84,154146,6.1,0,1,82.8,162
85,69300,10.7,1,0,3.61,458
86,3456,6.7,1,0,58.9,111
87,22651,3.5,0,0,24.04,494
88,3578,10.1,0,0,30.83,389
89,47697,9.3,0,0,49.51,28
90,8033447,167.1,1,0,80.34,218
91,82305,4.8,0,1,11.57,326
92,3781,2.4,0,0,33.12,40
93,66629,11.0,0,0,39.75,235
94,33578,6.5,0,0,48.8,86
95,42243,10.1,0,0,82.84,282
96,1518060,32.0,1,0,22.79,136
97,95796,5.7,1,0,50.25,476
98,117120,7.6,1,0,77.11,444
99,220811,7.8,0,1,9.09,189
100,622406,21.4,0,1,21.79,269
101,79312,6.5,0,1,16.5,159
102,8652,2.9,0,0,97.92,77
103,37844,3.1,1,0,12.42,410
104,581816,13.0,1,0,75.49,206
105,1727,3.0,0,0,11.64,201
106,5015,5.5,1,0,0.95,302
107,86921,3.8,1,0,91.55,23
108,54726,8.1,0,0,99.17,141
109,394435,14.8,1,0,59.59,419
110,63505,4.5,0,1,30.24,351
111,17123,5.9,1,0,8.25,283
112,49359,5.8,0,1,31.99,109
113,78424,8.6,0,0,68.04,403
114,2198,6.1,0,0,45.59,364
115,25962,10.1,0,0,76.49,163
116,5030,5.9,0,0,86.46,24
117,2493,8.7,0,0,63.0,309
118,2840381,64.4,0,1,80.42,429
119,91456,6.7,0,0,39.25,65
120,632181,18.4,1,0,18.09,165
121,45489,3.1,0,0,25.8,408
122,163633,10.7,0,0,57.65,408
123,37145,1.9,1,0,21.15,341
124,426831,13.5,0,1,74.13,298
125,14929,2.3,1,0,33.05,30
126,164637,8.5,1,0,30.84,260
127,2484,6.0,0,0,96.35,487
128,36392,3.8,0,0,57.0,395
129,49451,5.6,0,1,66.99,153
130,144177,8.0,1,0,55.55,457
131,691540,17.7,1,0,68.44,200
132,31254,3.2,1,0,99.17,89
133,188097,8.9,0,1,8.67,474
134,10092,3.8,1,0,56.72,418
135,29580,6.6,0,0,62.87,293
136,6788,7.6,1,0,34.21,98
137,88971,8.6,1,0,8.69,480
138,20105,1.6,0,0,98.14,470
139,5892,6.6,1,0,52.33,184
140,8147,7.3,0,0,22.1,39
141,43794,2.8,0,0,92.31,456
142,3090,8.7,1,0,96.42,433
143,112271,4.8,1,0,59.59,292
144,150940,5.9,1,0,23.79,303
145,250178,10.0,1,0,34.9,258
146,390370,17.1,0,1,73.0,32
147,220446,6.9,0,0,56.49,424
148,2245795,50.0,1,0,41.19,142
149,39056,9.7,0,1,75.8,22
150,318654,15.7,1,0,95.29,307
151,112886,3.7,0,0,12.5,57
152,8417,9.6,1,0,45.47,199
153,134091,8.4,0,1,28.19,387
154,114669,11.2,1,0,12.79,276
155,25250,6.0,0,0,0.78,256
156,2571,2.6,1,0,11.6,302
157,8927,3.4,0,0,54.27,332
158,84072,8.9,0,0,27.18,387
159,2885,8.0,1,0,45.64,421
160,9214,1.9,0,0,29.16,236
161,24770,1.8,1,0,77.54,219
162,8699,9.1,0,0,55.64,487
163,124928,4.9,0,0,91.56,410
164,1538136,33.9,1,0,54.24,11
165,67842,6.2,0,1,92.83,85
166,9689,8.7,0,0,2.58,65
167,23790,7.5,1,0,85.15,385
168,63360,3.0,0,1,72.47,113
169,721648,19.6,0,1,73.04,413
170,7128,2.4,0,0,7.85,352
171,75416,3.3,0,0,12.11,142
172,8947,9.9,0,1,3.36,110
173,92985,4.9,1,0,20.81,104
174,7795,1.8,1,0,96.88,50
175,1799,1.5,0,0,5.51,404
176,38940,5.9,0,1,50.93,125
177,47180,7.3,0,0,34.34,215
178,164017,4.9,1,0,75.8,137
179,19783,7.2,0,0,69.9,346
180,47369,4.7,0,1,35.79,34
181,40533,8.2,1,0,40.86,427
182,30038,6.5,0,1,40.01,451
183,23632,8.2,0,0,46.5,184
184,339261,15.6,0,0,73.39,370
185,27972,4.1,1,0,74.47,451
186,585468,18.8,0,0,49.22,353
187,31293,8.6,0,0,97.16,189
188,7483,6.0,0,0,27.47,40
189,884494,24.9,1,0,15.15,63
190,70532,4.3,1,0,46.53,467
191,55329,8.1,0,1,18.17,450
192,34017,10.4,0,0,62.34,394
193,26955,8.7,0,0,64.76,350
194,1602,3.0,0,0,26.98,30
195,5675,1.6,1,0,20.82,36
196,15873,5.7,1,0,65.67,140
197,144365,5.3,0,0,0.93,197
198,53932,7.6,0,0,54.08,367
199,4783,1.7,0,0,54.65,351
200,5323,1.1,0,0,49.19,324
201,5938,4.1,0,0,24.39,299
202,39286,4.9,0,1,28.17,391
203,37048,2.2,0,1,78.62,235
204,1320,9.2,0,0,28.95,412
205,1812,6.3,0,0,58.32,271
206,12736,5.2,0,1,56.52,213
207,13197,3.5,0,1,79.43,114
208,102691,5.8,0,0,98.58,478
209,18576402,377.3,0,1,54.25,256
210,2389407,55.0,0,1,71.99,499
211,347274,12.3,1,0,26.62,467
212,10243,2.3,0,0,13.58,58
213,13799,9.9,0,0,5.17,116
214,27645,4.0,1,0,68.71,444
215,305033,9.6,0,0,55.98,420
216,6153,3.2,1,0,2.43,397
217,23662,4.5,1,0,30.53,54
218,19918,5.5,0,0,33.98,36
219,27748,8.6,0,0,43.24,456
220,1692,8.0,0,0,45.68,364
221,18111,2.2,0,0,11.49,247
222,5602,7.4,0,0,33.42,484
223,2330185,51.9,0,1,32.57,178
224,53445,9.5,1,0,87.81,382
225,131964,5.5,1,0,77.4,331
226,3181,7.1,1,0,38.83,277
227,4647,5.3,0,0,19.74,51
228,396220,14.5,1,0,74.67,45
229,79250,4.7,0,0,22.85,374
230,45656,9.1,0,0,75.02,142
231,82457,7.2,0,0,34.51,403
232,3963462,84.4,1,0,27.15,444
233,122768,7.1,0,0,15.95,299
234,880320,21.6,1,0,56.66,418
235,522087,15.3,0,1,91.71,267
236,11868,2.4,0,0,43.35,227
237,35474,7.4,1,0,66.31,143
238,248754,10.1,0,1,94.42,266
239,18109,2.8,0,0,15.95,316
240,124451,9.6,0,1,17.95,319
241,12974,7.7,0,0,4.61,148
242,671,3.6,0,0,97.97,21
243,28560,5.3,0,0,26.22,92
244,30230,5.4,1,0,42.35,155
245,188364,6.8,0,1,44.41,486
246,448072,18.0,0,0,52.96,62
247,307878,8.9,1,0,71.51,426
248,3380,1.1,0,0,8.66,404
249,69014,3.0,0,0,74.73,144
250,22070,2.6,0,0,79.54,369
251,112378,7.4,1,0,78.59,151
252,6317,7.5,1,0,5.48,315
253,9068,9.1,0,0,13.94,417
254,5804,6.1,1,0,37.18,450
255,16570,10.0,0,1,55.83,251
256,11213,6.6,0,0,74.45,126
257,171332,11.0,0,0,44.69,311
258,4143,2.8,0,0,82.61,112
259,3516,4.0,0,0,78.61,353
260,20435,8.6,0,1,75.8,172
261,41313,8.3,0,0,65.59,395
262,7994,3.9,0,0,51.87,398
263,83827,5.0,0,1,63.15,332
264,279470,6.9,1,0,34.2,354
265,23288,1.8,0,0,52.6,203
266,18290,7.3,0,0,34.99,302
267,217169,8.8,0,0,21.71,290
268,16431,9.2,0,0,76.47,484
269,5427,8.4,1,0,3.21,58
270,80521,5.7,1,0,71.11,203
271,19091,1.8,0,0,15.0,309
272,28273,9.1,0,0,86.64,149
273,53634,9.8,0,0,50.54,306
274,177025,4.6,0,0,89.14,7
275,44275,4.7,1,0,64.4,482
276,2028070,43.0,1,0,9.37,311
277,24838,8.1,0,0,53.98,230
278,10821,6.2,0,0,20.41,233
279,7503,9.6,0,0,34.56,105
280,76654,3.5,0,0,29.52,130
281,3069,4.4,0,0,42.68,305
282,21314,5.2,1,0,20.76,401
283,293612,11.5,1,0,28.86,469
284,68611,7.0,0,1,29.55,267
285,100431,4.8,0,0,96.59,405
286,154795,6.0,0,1,53.18,245
287,44436,2.0,1,0,5.39,408
288,244507,13.2,1,0,49.86,328
289,21402,7.3,1,0,94.63,338
290,99621,9.1,0,0,0.89,273
291,39039,2.9,0,1,35.15,441
292,135923,10.0,0,1,27.82,32
293,3093,5.9,0,0,45.22,419
294,25708,7.7,1,0,1.13,174
295,99041,9.0,0,1,37.87,437
296,171472,8.4,1,0,0.33,280
297,18555,8.3,0,0,34.95,155
298,16916,2.3,1,0,68.11,185
299,22568,2.4,0,0,90.92,28
300,76488,4.8,0,1,93.23,464
301,28689,6.2,0,1,37.78,455
302,56328,10.8,1,0,1.78,444
303,51803,3.9,1,0,79.49,452
304,5902,8.0,0,0,53.08,314
305,589,5.3,0,0,9.69,335
306,23469,3.1,0,0,98.34,91
307,6823080,144.0,1,0,22.27,121
308,23544,2.4,1,0,74.36,124
309,23563,4.7,0,0,93.46,205
310,5376,6.5,1,0,55.92,364
311,17664,3.1,1,0,59.89,268
312,458654,16.3,0,1,26.8,479
313,254752,11.3,0,1,98.75,104
314,4117,1.5,0,0,50.47,14
315,98952,9.0,0,0,54.43,221
316,41833,4.0,0,0,33.54,340
317,84870,9.4,1,0,42.44,456
318,79841,10.4,0,1,38.88,198
319,112705,8.7,0,1,61.56,155
320,60168,8.7,1,0,32.94,446
321,29738,9.3,1,0,2.61,455
322,26087,2.8,0,0,7.22,421
323,22693,4.6,0,0,63.04,286
324,132964,4.1,1,0,56.75,153
325,56046,10.4,0,0,74.31,303
326,25853,6.9,0,0,6.93,140
327,48325,5.5,0,0,53.03,146
328,1332,5.6,0,0,81.16,304
329,156544,8.6,1,0,13.84,7
330,7458,8.6,1,0,66.92,351
331,6182,8.3,1,0,45.74,22
332,13694,4.1,0,0,19.18,90
333,30659,7.6,0,1,93.72,212
334,612020,14.5,0,1,2.47,23
335,357143,17.0,0,1,68.42,321
336,31099,3.5,0,1,48.11,406
337,1249,3.5,0,0,34.28,359
338,12702,4.2,0,0,33.63,173
339,225119,6.2,1,0,12.63,196
340,930941,26.5,0,1,63.64,88
341,74822,8.4,1,0,24.61,295
342,1110341,23.4,1,0,65.23,139
343,65496,6.5,0,1,21.31,295
344,524549,12.2,1,0,22.53,304
345,47383,2.7,1,0,83.71,206
346,56511,8.0,0,0,72.4,260
347,7349,1.7,0,0,63.64,190
348,93397,3.9,0,1,45.64,194
349,34055,7.1,1,0,27.91,139
350,3000,2.9,0,0,47.95,410
351,554418,19.0,1,0,58.18,140
352,3093,2.3,0,0,96.31,83
353,4691,2.6,0,0,69.34,314
354,26026,4.1,0,1,93.51,84
355,27494,9.1,0,1,58.57,11
356,39150,7.3,0,0,1.33,478
357,153547,6.7,0,1,99.86,448
358,31876,2.7,0,0,56.37,442
359,6476,6.6,0,0,89.2,43
360,144001,5.1,0,0,5.35,462
361,15189,9.6,1,0,95.0,88
362,87852,9.1,0,0,79.26,210
363,17862,9.2,1,0,95.65,240
364,675634,23.4,1,0,55.96,172
365,10042,2.8,0,0,60.15,255
366,31402,4.2,1,0,91.57,116
367,356094,15.0,0,0,80.51,400
368,6849,8.9,0,0,11.25,175
369,189568,10.6,0,1,67.23,318
370,59243,11.1,0,1,34.22,479
371,5691,4.0,0,1,95.75,441
372,350152,13.4,0,1,96.42,400
373,1766851,41.8,0,1,62.79,23
374,268547,7.7,0,0,62.99,449
375,220932,8.0,0,1,59.07,343
376,1679,7.7,1,0,12.5,275
377,9922,6.1,0,0,6.29,145
378,101192,11.5,0,1,89.99,106
379,105551,5.0,0,0,5.19,22
380,18189,3.4,1,0,87.49,210
381,14515,7.5,0,1,88.59,106
382,32232,2.8,0,0,53.14,422
383,26295,1.7,0,0,88.09,456
384,59131,9.8,0,0,25.48,135
385,26041,8.2,0,0,6.93,154
386,29536,4.9,0,0,63.31,280
387,9805,9.4,1,0,91.46,126
388,89280,4.6,0,1,78.79,39
389,9190,9.2,0,0,34.68,375
390,43839,2.5,0,0,72.82,330
391,18162,8.3,0,0,89.67,50
392,533181,17.0,1,0,23.18,369
393,4941,4.5,1,0,60.69,493
394,71619,3.0,0,0,64.7,46
395,44732,5.8,1,0,74.6,353
396,60137,10.1,0,0,34.67,438
397,14909,4.3,0,0,95.13,197
398,383800,10.0,1,0,81.07,21
399,2209,3.2,0,0,82.55,428
400,8111,4.4,0,0,17.63,438
401,37724,9.3,0,1,24.77,314
402,16357,7.1,0,0,36.75,196
403,353069,13.6,1,0,84.28,392
404,2020,5.7,0,0,34.08,398
405,23209,2.5,1,0,58.67,226
406,39751,4.9,0,0,87.46,216
407,151185,10.2,1,0,25.76,271
408,4231,1.8,0,1,80.68,170
409,58523,5.8,0,0,39.83,325
410,194854,11.8,0,1,57.34,480
411,17007,2.4,1,0,39.42,196
412,257140,7.1,0,0,14.85,318
413,3016,3.6,0,0,24.93,456
414,17984,2.2,0,0,44.42,27
415,77686,9.3,0,0,15.09,175
416,15278,7.7,1,0,43.17,11
417,58052,10.3,1,0,70.93,315
418,48304,6.4,1,0,14.12,28
419,1470,8.9,0,0,67.58,401
420,144454,12.1,0,0,2.32,162
421,4129,2.8,0,0,36.77,90
422,168098,6.1,0,0,12.91,379
423,173959,8.8,0,1,8.22,495
424,449991,14.6,1,0,54.14,419
425,506571,12.9,0,1,36.45,286
426,668365,16.9,1,0,47.28,480
427,27132,1.9,1,0,82.21,69
428,1590,8.7,0,0,73.22,268
429,25190,2.4,1,0,85.15,447
430,22248,2.4,0,1,79.53,277
431,715579,17.7,0,1,93.54,61
432,6134,7.2,0,0,74.08,264
433,32557,7.8,0,0,47.35,422
434,166886,11.4,0,1,31.83,140
435,5080713,109.1,0,1,48.91,415
436,167388,12.1,0,0,54.46,54
437,28414,6.7,0,1,37.8,201
438,63961,5.4,0,0,98.15,199
439,24155,7.2,0,0,10.41,459
440,209665,7.5,0,1,39.87,355
441,23790,9.7,0,1,2.25,199
442,291564,7.8,0,0,20.45,268
443,4873,8.0,1,0,14.5,406
444,31650,5.8,1,0,32.61,429
445,6467,8.7,0,0,12.02,256
446,35991,4.3,0,0,51.49,143
447,7794,6.7,0,0,21.3,35
448,2923,7.5,0,0,69.08,191
449,1898,6.3,1,0,24.03,252
450,145490,10.2,0,1,76.93,44
451,9079,9.0,0,0,5.98,212
452,22512,4.2,0,0,77.21,305
453,1506970,36.1,1,0,0.48,37
454,62231,5.7,0,0,62.26,368
455,2800,8.8,0,1,53.55,455
456,59212,5.2,1,0,48.47,55
457,15465,9.6,0,1,41.53,476
458,66304,10.6,1,0,90.83,340
459,92013,6.7,0,1,47.71,64
460,4022060,84.4,0,1,30.26,138
461,680659,17.4,0,1,81.4,469
462,14005,8.8,0,0,42.32,265
463,37994,1.8,0,0,6.2,85
464,60366,5.2,0,0,33.79,51
465,3382,3.1,0,0,96.27,234
466,5373,5.5,1,0,97.45,442
467,29689,7.9,1,0,99.43,103
468,18015,7.6,0,0,80.66,425
469,18008,8.5,1,0,82.79,355
470,138518,8.2,0,0,29.72,43
471,61591,4.6,0,1,89.59,458
472,7571,6.9,0,0,21.3,481
473,56831,10.5,0,1,89.49,431
474,2381,8.5,0,0,25.71,328
475,26956,4.1,1,0,4.58,389
476,120848,4.0,0,0,83.04,246
477,104187,9.4,0,1,93.92,133
478,14832,6.6,0,0,43.65,89
479,13293,10.2,0,0,36.59,82
480,19607,1.5,1,0,28.26,271
481,14859,9.6,0,0,16.01,219
482,3942,9.2,0,0,23.14,396
483,379034,13.0,1,0,65.28,278
484,1392,2.4,0,0,48.25,44
485,10305,9.8,0,0,35.44,17
486,6150,3.3,0,0,3.91,133
487,76884,7.5,0,1,44.32,426
488,40062,9.3,1,0,33.66,105
489,4607,5.8,0,0,65.62,111
490,2703434,60.0,0,0,2.05,285
491,827878,19.7,1,0,66.24,489
492,12601,8.1,0,0,63.19,192
493,29352,7.6,1,0,76.49,380
494,336563,10.3,0,1,31.46,354
495,136367,10.5,1,0,28.92,53
496,146372,12.7,1,0,83.99,424
497,7037,6.2,0,0,51.71,287
498,170746,7.2,0,1,91.4,278
499,16463,6.2,0,0,6.06,192
500,31009,9.9,0,0,85.22,306
501,31689,8.1,0,0,62.8,399
502,252695,10.3,1,0,87.5,305
503,476715,17.8,1,0,3.43,355
504,12929,5.2,0,0,16.06,152
505,10298,5.6,0,0,32.12,187
506,107661,4.7,0,1,70.01,279
507,144898,5.0,0,0,23.5,427
508,29359,9.7,0,0,96.68,263
509,20622,7.6,0,0,90.51,357
510,8547,9.7,0,0,46.78,251
511,14664,9.3,0,0,88.55,319
512,1464257,31.2,1,0,32.31,274
513,9493,4.2,0,0,51.0,193
514,13122,1.7,0,0,41.15,48
515,41126,7.0,0,1,15.34,332
516,126166,8.1,0,1,50.51,320
517,85654,11.4,1,0,32.05,135
518,5952,2.9,0,0,54.12,117
519,2660,10.0,0,0,52.06,438
520,36757,4.4,0,1,24.1,390
521,100776,8.6,0,0,54.99,269
522,4075,3.5,1,0,47.47,470
523,8608,1.6,0,0,73.42,118
524,7853,6.2,0,0,70.43,214
525,252327,14.6,0,0,30.53,5
526,139342,6.1,1,0,33.15,429
527,1250711,28.9,1,0,11.0,117
528,16468,4.9,1,0,72.57,115
529,72635,8.3,0,1,11.12,360
530,86482,11.4,0,0,7.87,322
531,25451,6.5,0,0,31.75,493
532,193727,6.8,0,0,46.52,221
533,9123,4.1,0,0,46.79,49
534,15448,7.5,0,0,29.98,56
535,9120,9.8,0,0,17.01,40
536,52837,7.3,0,0,67.36,85
537,39100,7.8,0,0,57.85,276
538,8052,9.9,1,0,30.55,113
539,20541,2.0,1,0,51.6,381
540,148531,4.6,0,1,42.87,335
541,8328,4.0,0,0,65.9,205
542,2472,9.0,0,0,29.36,326
543,66726,6.6,1,0,39.12,16
544,3828,6.4,0,0,43.9,104
545,2808,8.7,0,0,32.38,432
546,20956,8.4,1,0,56.12,354
547,98389,5.6,0,1,31.08,382
548,3898,7.0,0,0,18.44,270
549,131697,10.7,1,0,20.02,221
550,17693,9.4,0,0,66.67,433
551,2687683,56.2,1,0,13.45,398
552,16163,4.1,0,0,38.85,362
553,4758,4.1,0,0,23.69,333
554,36889,9.4,0,0,80.41,67
555,22818,3.2,0,0,43.28,165
556,90382,9.9,1,0,41.91,443
557,20353,9.4,0,1,82.87,473
558,934117,21.4,0,1,36.04,376
559,2986,2.8,0,0,43.18,267
560,101017,11.9,0,0,44.69,408
561,125963,10.5,0,0,27.75,126
562,7895,2.3,1,0,52.57,94
563,365156,14.0,0,1,25.68,486
564,347667,10.6,0,1,76.9,401
565,6730,6.3,1,0,20.25,13
566,237998,14.3,0,0,9.38,151
567,25451,6.9,1,0,16.4,198
568,17943,9.2,1,0,88.4,171
569,12143,10.1,0,0,78.98,463
570,12460,2.9,1,0,81.84,465
571,595956,13.6,1,0,76.25,225
572,11315,5.1,0,0,24.95,37
573,8908,9.0,1,0,25.64,220
574,5864,6.7,0,0,18.41,58
575,12893,7.8,0,0,98.06,288
576,39154,8.2,0,0,24.07,397
577,49347,7.8,0,1,88.3,278
578,12954,7.8,0,0,28.0,213
579,155489,12.5,1,0,2.26,87
580,77665,11.4,1,0,48.65,268
581,80094,3.7,1,0,0.94,165
582,4323,6.5,0,0,85.37,481
583,26993,9.1,1,0,73.7,383
584,4314,3.8,1,0,32.42,165
585,2493,8.5,0,0,85.91,364
586,98555,9.6,1,0,41.48,138
587,13110,9.0,0,1,69.54,169
588,78065,6.4,0,1,39.98,115
589,349812,9.7,0,1,51.31,428
590,58170,4.4,0,1,98.31,68
591,140398,7.3,0,1,77.52,83
592,5250,2.5,0,0,11.64,381
593,55027,3.0,0,1,24.54,330
594,16561,6.8,1,0,95.45,254
595,53575,2.9,0,0,68.17,192
596,14696295,300.3,1,0,67.93,38
597,24428,9.5,0,0,24.38,29
598,30085,2.9,0,1,35.41,28
599,12838,7.1,0,1,88.13,395
600,1757726,43.6,0,1,93.12,273
601,82841,7.7,0,1,74.81,461
602,10506,3.8,1,0,94.3,381
603,105338,7.9,0,1,31.73,281
604,1636417,34.7,0,1,3.83,166
605,38489,2.7,0,1,57.5,433
606,129444,4.7,1,0,77.62,49
607,695,7.6,1,0,2.21,103
608,111957,4.8,1,0,61.82,493
609,191056,12.1,1,0,75.05,385
610,116078,4.2,0,0,62.53,307
611,260207,12.4,0,1,37.24,301
612,20357,7.6,0,0,53.03,79
613,6413,3.4,0,0,21.27,111
614,166560,5.1,0,1,22.77,199
615,1737,8.5,0,0,10.21,333
616,26236,3.6,0,0,2.85,285
617,238787,7.5,0,1,72.94,108
618,11358,1.9,1,0,99.45,162
619,28473,7.6,0,0,32.52,118
620,8324,4.6,0,0,23.12,51
621,102892,11.9,0,1,16.47,447
622,6379,9.9,1,0,98.37,474
623,14944,9.5,1,0,89.37,378
624,4025172,86.7,1,0,73.56,129
625,26985,1.8,0,0,71.98,213
626,46834,10.2,1,0,4.67,294
627,234946,12.1,1,0,87.06,284
628,12636,7.8,0,0,4.84,455
629,75309,2.8,0,1,92.53,329
630,17303,5.9,1,0,51.9,280
631,46474,2.8,0,0,39.45,425
632,4217,6.0,0,0,6.68,115
633,46669,10.0,1,0,32.41,324
634,336452,16.2,1,0,78.09,57
635,632395,22.0,0,1,62.08,429
636,131909,4.6,1,0,94.1,419
637,759920,22.2,1,0,21.45,468
638,40626,7.2,1,0,32.89,17
639,121007,5.1,1,0,79.17,304
640,145469,11.8,1,0,84.24,155
641,154737,5.8,0,1,90.11,89
642,11142,1.2,1,0,64.12,63
643,2951,8.7,1,0,33.44,208
644,96654,5.7,1,0,31.03,241
645,382990,8.7,0,1,22.89,243
646,18655,6.4,0,0,89.28,448
647,43745,4.0,0,0,34.12,48
648,8145,1.5,0,0,26.31,302
649,7015,7.8,0,0,4.52,79
650,31232,6.8,1,0,56.18,482
651,100686,6.0,0,1,23.49,87
652,57857,3.6,1,0,31.57,200
653,72922,5.5,0,0,64.64,374
654,12633,3.6,0,0,83.75,358
655,412954,12.5,1,0,37.41,184
656,92518,8.8,0,1,14.17,335
657,274379,10.3,1,0,16.45,274
658,203665,13.3,1,0,51.6,48
659,15979,8.4,0,0,53.28,114
660,37675,2.7,0,0,28.38,58
661,142157,12.7,1,0,22.01,32
662,5219,7.6,0,0,52.41,56
663,14387,4.6,0,0,57.34,496
664,10785,9.0,1,0,94.13,316
665,937261,23.0,0,1,54.87,237
666,203036,11.7,0,1,40.67,478
667,1268,6.7,1,0,28.68,153
668,34344,10.2,0,1,37.62,291
669,896873,22.3,0,1,2.38,407
670,33717,6.3,1,0,45.11,473
671,33014,4.5,0,1,68.51,197
672,5968,9.8,0,0,73.14,134
673,167088,7.8,0,1,79.3,49
674,230745,11.9,1,0,74.13,247
675,108135,8.5,1,0,82.25,424
676,12659,8.6,0,0,37.25,133
677,45350,8.6,0,1,70.35,496
678,440546,12.4,1,0,92.77,227
679,9262,6.4,0,0,65.57,145
680,10695,10.2,0,0,50.81,337
681,44316,4.4,0,0,41.64,256
682,17984,3.9,1,0,23.53,477
683,33937,5.2,0,1,8.23,196
684,11478,6.6,0,0,74.58,412
685,21513,1.5,0,0,39.83,232
686,49035,10.4,0,0,78.16,109
687,30897,7.5,0,0,52.4,147
688,6414,8.1,1,0,75.08,281
689,32409,8.5,0,0,60.27,475
690,543948,12.1,0,1,52.38,271
691,5639,2.9,1,0,41.25,463
692,80377,9.0,1,0,0.47,115
693,165264,11.8,1,0,59.78,11
694,28230,1.7,1,0,75.56,225
695,140073,5.9,0,1,12.25,231
696,26013,3.6,0,0,43.95,169
697,2223,8.3,1,0,15.8,455
698,101698,5.1,0,0,15.33,193
699,39639,4.3,0,1,67.1,472
700,1860899,41.4,1,0,41.22,240
701,1531339,35.6,1,0,15.12,198
702,27465,2.2,0,1,20.76,21
703,22567,3.8,1,0,37.67,250
704,338147,13.6,0,1,82.55,260
705,215184,11.2,0,1,13.81,185
706,3024,4.3,0,0,50.95,217
707,13122,7.5,1,0,18.15,59
708,93550,4.3,0,0,33.55,415
709,362288,14.2,1,0,9.06,253
710,9909,7.7,0,0,49.41,231
711,3830,10.1,0,0,84.87,414
712,601061,16.7,0,0,53.48,459
713,246103,8.9,1,0,45.06,52
714,1571251,36.1,1,0,66.04,199
715,12915,7.6,1,0,49.51,123
716,29548,3.7,0,0,90.24,12
717,9142,2.4,0,0,76.47,410
718,6027,8.5,0,0,8.61,77
719,1752921,40.0,0,1,79.6,175
720,77147,3.0,0,0,29.28,493
721,27810,9.8,0,0,8.32,397
722,545363,18.5,0,1,8.0,45
723,23429,8.0,0,1,99.44,306
724,16907,4.8,0,0,72.96,62
725,13070,8.5,0,0,9.21,336
726,6119,5.1,0,0,53.53,340
727,45005,2.3,0,1,70.84,366
728,1192,7.9,0,0,33.81,486
729,4119,8.1,1,0,82.88,346
730,880784,25.5,0,1,36.02,49
