company_id,mfa_status,edr_deployed,patch_velocity,open_vulnerabilities,backup_type,training_freq,pen_test_age
299,1,1,116,548,Cloud-only,2,19
300,0,0,49,206,Cloud-only,3,25
301,1,0,24,97,Offline,2,6
302,0,0,99,398,On-premise,4,6
303,1,0,40,88,Cloud-only,3,15
304,0,1,19,85,Offline,4,3
305,1,1,110,438,On-premise,4,6
306,0,0,37,158,On-premise,0,19
307,1,0,49,134,Cloud-only,0,33
308,0,1,99,425,Offline,1,24
309,1,1,63,192,Cloud-only,2,11
310,1,1,4,15,Cloud-only,4,32
311,1,0,87,421,Offline,2,18
312,0,1,113,490,Cloud-only,0,14
313,1,0,103,399,Cloud-only,2,17
314,0,1,60,255,On-premise,3,10
315,0,1,6,28,Cloud-only,1,10
316,1,1,79,243,Offline,2,5
317,0,1,1,4,Offline,1,22
318,1,1,53,146,On-premise,3,8
319,1,0,34,104,On-premise,1,17
320,1,1,9,44,Cloud-only,1,23
321,0,0,74,197,Cloud-only,0,33
322,0,1,48,190,On-premise,1,31
323,0,1,95,433,Offline,4,25
324,1,1,39,177,Cloud-only,1,12
325,0,1,57,232,Cloud-only,1,25
326,1,1,8,19,On-premise,0,19
327,1,0,2,4,Offline,3,14
328,0,1,79,206,Cloud-only,2,21
329,0,0,39,149,Cloud-only,1,3
330,0,1,110,424,Cloud-only,4,7
331,1,1,102,458,Cloud-only,0,21
332,1,1,27,106,Offline,1,30
333,0,1,49,142,Cloud-only,0,16
334,0,0,20,63,Cloud-only,1,34
335,1,0,62,274,Cloud-only,4,25
336,0,0,48,156,On-premise,3,11
337,0,0,106,463,Cloud-only,4,28
338,1,0,53,106,Offline,4,14
339,0,1,108,338,Cloud-only,3,10
340,0,0,90,321,Cloud-only,3,34
341,0,0,46,185,Cloud-only,0,9
342,1,0,10,44,Offline,3,9
343,0,1,6,13,Offline,0,27
344,1,0,53,150,Cloud-only,0,3
345,1,0,50,216,Cloud-only,3,16
346,1,1,69,168,Cloud-only,1,21
347,0,0,109,352,Offline,2,29
348,0,1,38,85,Cloud-only,3,22
349,1,1,45,153,Cloud-only,0,10
350,1,1,51,122,Cloud-only,0,14
351,1,0,101,487,Cloud-only,1,31
352,1,1,107,444,Cloud-only,2,11
353,0,0,63,314,Cloud-only,3,11
354,0,1,61,177,On-premise,3,21
355,1,1,16,76,Cloud-only,4,25
356,0,1,79,185,Cloud-only,4,3
357,0,0,19,60,Offline,1,32
358,0,0,1,2,Cloud-only,4,33
359,0,0,36,127,On-premise,0,28
360,0,0,39,118,Offline,0,20
361,0,1,86,188,Offline,1,27
362,1,0,38,167,Cloud-only,2,28
363,1,1,78,274,On-premise,0,35
364,0,1,32,159,Offline,3,13
365,1,1,38,181,Offline,4,13
366,1,0,56,158,Cloud-only,0,7
367,0,0,11,51,On-premise,0,8
368,0,0,73,271,Cloud-only,0,18
369,0,0,29,110,On-premise,3,28
370,1,1,94,416,Cloud-only,1,20
371,1,0,71,294,Cloud-only,0,29
372,0,1,69,139,Cloud-only,3,6
373,1,1,93,454,Offline,4,31
374,1,0,14,30,Offline,0,7
375,0,1,15,68,On-premise,3,19
376,1,0,89,198,Cloud-only,4,20
377,1,1,41,104,On-premise,2,17
378,1,1,69,229,Cloud-only,4,4
379,1,1,104,265,Offline,3,2
380,0,1,117,553,Cloud-only,3,28
381,0,1,109,499,Cloud-only,4,15
382,1,0,47,211,Cloud-only,2,22
383,0,1,45,136,On-premise,2,4
384,1,1,98,210,On-premise,1,21
385,0,0,35,163,On-premise,1,20
386,1,1,8,33,Offline,2,34
387,0,1,79,305,Cloud-only,0,27
388,1,1,2,8,Cloud-only,3,34
389,1,1,118,273,Cloud-only,0,18
390,1,1,93,444,Cloud-only,0,3
391,1,0,24,57,Offline,1,34
392,0,1,44,197,Cloud-only,2,31
393,1,0,112,296,Cloud-only,4,31
394,0,1,93,391,Offline,2,21
395,0,1,8,20,Cloud-only,2,21
396,0,0,35,83,Cloud-only,4,9
397,0,1,55,209,Cloud-only,0,4
398,0,1,114,350,Offline,0,32
399,1,1,109,378,Offline,3,5
400,1,0,37,89,Cloud-only,3,24
401,1,1,59,253,On-premise,1,15
402,0,1,100,261,On-premise,3,14
403,0,0,12,34,Cloud-only,3,11
404,1,1,65,281,Offline,0,4
405,0,1,23,53,Offline,4,28
406,0,1,33,154,Cloud-only,1,18
407,1,1,54,140,Cloud-only,2,16
408,1,0,32,72,Cloud-only,4,23
409,0,1,86,262,Cloud-only,1,31
410,1,1,25,75,Cloud-only,0,16
411,1,1,96,438,On-premise,1,30
412,0,1,111,346,On-premise,4,33
413,1,0,89,371,Offline,0,35
414,1,0,106,510,Cloud-only,3,8
415,1,1,55,176,Offline,1,7
416,1,0,9,36,Offline,3,6
417,1,0,32,144,On-premise,0,12
418,1,1,70,149,Offline,4,18
419,0,1,16,62,Cloud-only,0,3
420,0,1,104,284,Cloud-only,4,2
421,1,1,115,325,Cloud-only,3,11
422,1,1,8,22,On-premise,2,14
423,0,0,32,105,Cloud-only,0,8
424,0,0,102,378,Offline,3,30
425,1,0,80,350,Cloud-only,2,16
426,1,1,118,427,Offline,0,23
427,1,0,10,48,Cloud-only,2,4
428,1,1,33,86,On-premise,3,17
429,0,0,8,27,Cloud-only,4,5
430,0,1,84,210,Offline,2,10
431,0,0,78,312,On-premise,0,4
432,1,0,93,299,On-premise,3,1
433,1,0,19,49,Cloud-only,0,2
434,1,1,57,195,Cloud-only,3,2
435,1,0,71,275,Cloud-only,3,30
436,1,1,119,466,Cloud-only,0,25
437,1,1,29,82,On-premise,3,9
438,1,1,109,480,Cloud-only,0,29
439,1,0,82,213,Cloud-only,0,33
440,0,1,91,273,On-premise,2,12
441,0,1,4,13,On-premise,0,5
442,0,0,30,82,Offline,0,31
443,1,1,108,424,Offline,0,23
444,1,1,22,73,On-premise,2,31
445,1,1,42,122,Offline,0,11
446,0,0,36,178,Cloud-only,3,1
447,0,1,115,485,Offline,2,3
448,0,0,41,143,On-premise,3,34
449,0,0,82,288,On-premise,1,27
450,1,0,39,121,Offline,2,8
451,1,1,112,321,Cloud-only,3,5
452,1,1,49,140,Offline,2,35
453,0,1,68,216,Cloud-only,3,24
454,0,1,78,357,On-premise,1,2
455,1,1,119,512,Offline,0,10
456,1,0,64,149,Offline,1,22
457,0,1,9,27,Offline,4,14
458,1,1,5,22,On-premise,4,25
459,0,0,72,270,Cloud-only,0,3
460,1,1,85,251,Offline,0,27
461,1,1,116,325,Offline,0,13
462,1,0,38,80,Cloud-only,2,30
463,1,1,2,8,Cloud-only,1,20
464,0,1,86,280,Cloud-only,0,35
465,0,0,53,163,Offline,2,31
466,1,1,74,264,On-premise,3,19
467,0,1,32,73,Cloud-only,1,17
468,1,0,70,241,Offline,1,5
469,1,1,80,337,On-premise,4,1
470,0,0,78,280,On-premise,0,28
471,0,0,115,487,On-premise,3,28
472,0,0,12,41,Offline,3,22
473,1,0,76,175,On-premise,2,15
474,0,1,118,441,Offline,0,11
475,1,1,3,14,Offline,2,11
476,1,1,31,142,Offline,0,3
477,1,1,91,388,Cloud-only,4,32
478,1,1,88,205,On-premise,3,31
479,1,1,86,373,Offline,1,30
480,0,0,110,521,Cloud-only,3,6
481,0,1,72,255,Cloud-only,4,17
482,1,1,91,404,Cloud-only,0,34
483,1,0,8,23,On-premise,0,5
484,1,0,54,163,Cloud-only,0,28
485,0,0,61,276,Cloud-only,4,32
486,1,1,80,325,On-premise,4,3
487,1,1,5,10,Cloud-only,4,8
488,1,0,100,270,Offline,2,33
489,0,0,110,417,Offline,3,12
490,0,1,73,292,Cloud-only,0,19
491,1,1,21,103,Cloud-only,3,20
492,0,1,82,200,On-premise,3,19
493,1,1,85,373,Cloud-only,2,30
494,0,0,80,291,Offline,2,33
495,0,0,82,308,Offline,2,15
496,1,0,63,254,Cloud-only,1,31
497,1,1,62,143,Offline,1,34
498,1,0,84,398,Cloud-only,4,27
499,0,0,111,325,Cloud-only,0,19
500,1,0,27,110,On-premise,4,3
501,1,0,100,364,Cloud-only,3,12
502,0,1,110,387,Offline,0,2
503,0,0,76,254,On-premise,2,18
504,1,1,105,353,Cloud-only,3,23
505,0,0,45,180,Cloud-only,2,2
506,1,1,10,41,Cloud-only,2,12
507,0,0,53,117,Cloud-only,2,14
508,1,1,55,193,Cloud-only,0,18
509,0,0,20,73,Cloud-only,0,27
510,1,1,60,164,Offline,0,6
511,0,1,99,371,Offline,2,22
512,0,1,50,201,Offline,4,3
513,0,0,56,253,Offline,4,17
514,1,1,83,396,On-premise,0,8
515,0,1,68,289,Cloud-only,0,26
516,1,1,63,244,Cloud-only,4,21
517,0,1,71,293,Cloud-only,0,20
518,1,1,37,156,Cloud-only,3,12
519,1,1,81,172,Cloud-only,0,22
520,0,0,56,123,Cloud-only,0,28
521,1,1,91,358,On-premise,3,6
522,0,1,115,568,Cloud-only,3,15
523,0,1,56,121,Offline,4,4
524,1,0,27,103,Offline,2,25
525,1,1,114,311,Cloud-only,3,15
526,1,0,77,341,Cloud-only,1,24
527,1,0,110,464,Offline,1,7
528,1,0,110,457,On-premise,2,15
529,0,0,27,72,Offline,1,16
530,1,0,20,76,Cloud-only,0,26
531,1,1,72,196,Cloud-only,2,18
532,0,1,19,69,Cloud-only,1,26
533,1,1,52,142,Cloud-only,1,8
534,0,0,117,350,Cloud-only,3,8
535,1,1,32,72,Cloud-only,2,32
536,0,0,29,112,On-premise,0,31
537,1,0,57,177,Cloud-only,3,8
538,1,1,39,134,Cloud-only,4,32
539,1,0,2,5,On-premise,4,23
540,0,1,14,53,Offline,2,32
541,0,0,59,223,On-premise,1,11
542,0,1,62,258,Cloud-only,2,32
543,1,1,23,103,Cloud-only,4,31
544,0,0,98,235,Offline,3,21
545,1,1,26,82,Cloud-only,3,11
546,0,0,68,315,On-premise,2,23
547,1,1,18,39,Offline,1,5
548,0,1,119,548,Offline,1,32
549,1,0,21,59,Cloud-only,4,25
550,1,1,96,472,On-premise,2,24
551,1,0,108,325,Cloud-only,3,7
552,1,0,37,162,Offline,3,13
553,0,0,45,172,Cloud-only,3,20
554,0,1,101,226,Cloud-only,2,21
555,1,1,11,49,Offline,4,3
556,0,0,103,227,Cloud-only,3,34
557,1,1,51,245,Cloud-only,4,6
558,0,0,91,339,Cloud-only,1,1
559,1,0,46,229,Offline,3,32
560,0,0,94,366,Offline,1,1
561,0,1,42,111,Cloud-only,1,16
562,0,1,39,137,Cloud-only,2,35
563,1,1,6,21,Cloud-only,2,29
564,0,1,7,25,Cloud-only,4,8
565,1,0,10,40,Offline,3,21
566,0,0,41,84,Cloud-only,3,29
567,1,1,27,72,Cloud-only,4,6
568,0,1,110,248,On-premise,4,6
569,1,1,27,68,Cloud-only,4,34
570,1,1,68,171,Offline,0,5
571,1,1,17,69,Cloud-only,0,13
572,1,1,64,234,Offline,2,34
573,1,1,43,175,Cloud-only,1,18
574,1,1,30,102,Cloud-only,0,3
575,1,1,44,216,Offline,1,22
576,1,0,37,117,Offline,3,35
577,1,0,97,430,Cloud-only,4,10
578,1,1,50,160,Cloud-only,1,17
579,1,1,24,107,Cloud-only,0,27
580,0,0,117,497,Cloud-only,2,27
581,1,1,110,300,Cloud-only,2,23
582,1,1,70,157,Cloud-only,1,20
583,1,0,97,271,On-premise,2,11
584,1,1,38,123,Offline,4,35
585,0,0,118,376,Cloud-only,2,28
586,1,0,27,121,On-premise,4,20
587,1,0,118,258,Cloud-only,1,10
588,1,1,72,235,Offline,2,18
589,1,1,15,41,On-premise,2,11
590,0,0,91,248,Cloud-only,3,16
591,1,0,106,239,Cloud-only,4,25
592,0,0,26,126,Offline,1,13
593,0,0,39,82,Offline,4,20
594,1,1,99,386,Cloud-only,1,27
595,1,1,42,192,Cloud-only,2,11
596,0,0,10,47,On-premise,4,22
597,0,0,96,420,Cloud-only,1,33
598,1,0,84,374,Cloud-only,2,5
599,1,0,113,439,Cloud-only,3,15
600,0,0,41,135,On-premise,1,28
601,1,0,116,414,Cloud-only,3,6
602,1,1,92,447,Cloud-only,4,27
603,1,1,39,183,Cloud-only,0,19
604,1,1,94,381,Cloud-only,3,16
605,0,0,10,23,Cloud-only,4,10
606,1,0,106,295,On-premise,1,31
607,1,0,67,147,Offline,1,29
608,0,0,73,225,On-premise,2,11
609,0,0,2,9,Offline,1,18
610,0,1,31,126,On-premise,0,30
611,1,1,78,341,On-premise,4,8
612,0,1,59,226,Cloud-only,2,27
613,0,1,40,114,Offline,3,20
614,1,0,61,135,Cloud-only,2,26
615,1,0,82,378,On-premise,2,33
616,0,1,70,205,Offline,4,28
617,1,1,92,254,Offline,2,17
618,1,1,83,211,On-premise,1,19
619,1,1,11,26,Cloud-only,3,32
620,0,0,73,189,Offline,4,6
621,0,0,104,380,Cloud-only,0,35
622,0,0,42,156,On-premise,4,8
623,1,0,83,309,On-premise,3,9
624,0,0,40,181,Offline,1,12
625,1,0,109,488,Cloud-only,0,27
626,1,1,12,52,On-premise,1,27
627,0,1,27,71,Cloud-only,1,2
628,1,1,46,222,Cloud-only,1,26
629,0,1,26,105,Cloud-only,3,28
630,1,1,119,578,On-premise,4,7
631,1,1,93,354,Cloud-only,3,3
632,0,1,76,315,Offline,1,17
633,1,0,88,315,On-premise,0,17
634,0,0,21,94,Offline,3,20
635,1,0,4,16,Cloud-only,0,11
636,1,0,111,326,Cloud-only,0,24
637,0,1,72,245,On-premise,1,32
638,0,1,116,356,On-premise,2,2
639,1,0,2,7,Cloud-only,0,10
640,1,1,96,402,On-premise,3,5
641,1,1,26,74,Offline,3,26
642,1,0,12,26,Offline,3,12
643,1,0,68,163,Cloud-only,3,10
644,1,1,24,117,Offline,3,7
645,1,0,90,197,Cloud-only,4,31
646,1,1,62,221,Cloud-only,2,25
647,1,1,50,153,Cloud-only,0,29
648,0,0,64,310,Cloud-only,0,30
649,0,1,105,510,Offline,2,26
650,1,0,96,415,Offline,0,9
651,1,0,98,303,Offline,0,5
652,0,1,108,295,Cloud-only,3,18
653,0,0,6,13,Cloud-only,3,28
654,1,1,44,200,Offline,2,15
655,0,1,25,122,Cloud-only,1,12
656,0,0,84,195,Cloud-only,3,28
657,1,1,97,304,Offline,1,2
658,1,1,17,38,On-premise,3,6
659,0,1,46,109,Offline,1,23
660,0,0,30,124,Cloud-only,2,25
661,1,1,48,204,Offline,4,32
662,1,1,80,267,Cloud-only,1,21
663,0,1,50,185,Offline,2,31
664,1,0,99,302,Cloud-only,2,5
665,0,0,20,87,On-premise,0,7
666,0,1,116,556,On-premise,2,33
667,1,0,63,196,Offline,4,28
668,1,1,42,178,Cloud-only,0,27
669,0,1,63,218,Cloud-only,2,27
670,1,1,100,322,Cloud-only,2,18
671,0,0,65,151,Offline,2,23
672,0,1,56,252,Cloud-only,2,26
673,0,0,81,246,Offline,2,13
674,0,0,15,73,Cloud-only,0,32
675,1,1,69,225,Offline,0,23
676,0,0,100,494,On-premise,3,3
677,0,0,13,31,Offline,1,19
678,1,1,101,426,Cloud-only,0,27
679,0,1,82,267,Offline,1,17
680,1,0,90,215,Cloud-only,0,3
681,1,1,96,263,Offline,0,4
682,0,0,51,169,Cloud-only,2,20
683,0,1,85,201,On-premise,3,25
684,0,0,72,197,Offline,1,19
685,0,1,26,119,Cloud-only,1,30
686,0,1,10,25,Cloud-only,4,22
687,1,0,112,231,Offline,1,15
688,1,0,45,111,Cloud-only,0,31
689,1,1,57,183,Cloud-only,4,16
690,1,1,64,267,Offline,2,30
691,1,0,105,387,Cloud-only,2,13
692,0,0,87,266,Offline,3,14
693,1,0,92,348,On-premise,3,7
694,1,1,16,46,Offline,1,5
695,1,1,77,188,On-premise,1,13
696,1,0,10,44,Offline,0,23
697,1,1,59,125,Cloud-only,4,13
698,0,1,18,88,Cloud-only,2,2
699,0,0,67,311,Offline,0,22
700,1,0,70,156,Cloud-only,3,3
701,1,1,114,356,Cloud-only,1,30
702,0,1,91,441,Offline,0,31
703,1,1,64,142,On-premise,3,1
704,1,0,12,51,Cloud-only,3,32
705,1,1,22,73,Cloud-only,4,26
